,movieId,genres
0,83773,Drama
1,83829,Drama
2,84768,Drama
3,86493,Drama
4,87061,Drama
5,91246,(no genres listed)
6,92435,(no genres listed)
7,92641,(no genres listed)
8,94431,Drama
9,94657,Animation
10,95541,Animation
11,95750,Drama
12,96479,(no genres listed)
13,96651,(no genres listed)
14,113472,Documentary
15,113545,(no genres listed)
16,114335,Drama
17,114587,Drama
18,114723,Drama
19,114725,Drama
20,114877,(no genres listed)
21,115004,(no genres listed)
22,115006,(no genres listed)
23,115419,Drama
24,115441,Drama
25,115529,(no genres listed)
26,115602,Drama
27,115893,Drama
28,116046,Comedy
29,116054,Drama
30,116096,(no genres listed)
31,116098,Animation
32,116100,Animation
33,116126,Thriller
34,116237,(no genres listed)
35,116287,Drama
36,116347,Drama
37,116425,(no genres listed)
38,116479,Documentary
39,116531,Drama
40,116704,Drama
41,116917,(no genres listed)
42,116923,(no genres listed)
43,116949,(no genres listed)
44,116955,(no genres listed)
45,117316,(no genres listed)
46,117722,Animation
47,117845,(no genres listed)
48,117847,(no genres listed)
49,117865,(no genres listed)
50,118292,(no genres listed)
51,118340,Drama
52,118448,Animation
53,118692,(no genres listed)
54,118728,Drama
55,118878,(no genres listed)
56,119878,(no genres listed)
57,120299,(no genres listed)
58,120612,Comedy
59,121581,Drama
60,121590,Thriller
61,121867,Comedy
62,122001,Comedy
63,122482,Horror
64,122557,Drama
65,122571,(no genres listed)
66,122573,(no genres listed)
67,122589,(no genres listed)
68,122605,Comedy
69,122637,Comedy
70,122675,(no genres listed)
71,122679,Comedy
72,122687,Sci-Fi
73,122711,(no genres listed)
74,122811,Drama
75,122825,Comedy
76,122888,Drama
77,122896,Drama
78,122944,(no genres listed)
79,122988,(no genres listed)
80,123010,(no genres listed)
81,123038,Drama
82,123044,(no genres listed)
83,123052,(no genres listed)
84,123061,Thriller
85,123071,(no genres listed)
86,123095,(no genres listed)
87,123117,(no genres listed)
88,123135,Drama
89,123139,Romance
90,123250,Drama
91,123254,Musical
92,123274,(no genres listed)
93,123278,Drama
94,123290,Drama
95,123333,Drama
96,123339,(no genres listed)
97,123345,Action
98,123371,Adventure
99,123397,(no genres listed)
100,123415,Drama
101,123421,(no genres listed)
102,123439,Documentary
103,123441,Horror
104,123518,Drama
105,123526,Drama
106,123559,Action
107,123602,(no genres listed)
108,123607,Drama
109,123609,Drama
110,123617,Drama
111,123619,(no genres listed)
112,123625,Drama
113,123629,(no genres listed)
114,123693,Drama
115,123709,Comedy
116,123715,Horror
117,123721,Drama
118,123729,(no genres listed)
119,123755,Drama
120,123775,Comedy
121,123798,Adventure
122,123800,(no genres listed)
123,123808,Drama
124,123810,Western
125,123830,(no genres listed)
126,123838,(no genres listed)
127,123850,(no genres listed)
128,123860,Drama
129,123866,Adventure
130,123870,Action
131,123874,Drama
132,123902,Drama
133,123913,(no genres listed)
134,123925,(no genres listed)
135,123935,(no genres listed)
136,123939,Drama
137,123975,Drama
138,123989,(no genres listed)
139,123995,Drama
140,123999,(no genres listed)
141,124007,(no genres listed)
142,124017,Drama
143,124039,Action
144,124095,Drama
145,124103,Drama
146,124149,(no genres listed)
147,124182,Drama
148,124200,Comedy
149,124215,Drama
150,124226,Drama
151,124243,(no genres listed)
152,124255,Romance
153,124269,(no genres listed)
154,124364,Drama
155,124366,Drama
156,124386,Drama
157,124388,Drama
158,124392,Comedy
159,124400,Thriller
160,124408,Drama
161,124422,(no genres listed)
162,124430,(no genres listed)
163,124464,(no genres listed)
164,124480,(no genres listed)
